Population,Violent
3266740,6097
3302000,5564
3358000,5283
3347000,6115
3407000,7260
3462000,6916
3517000,8098
3540000,8448
3566000,8288
3531000,8842
3444165,10185
3479000,10835
3510000,10994
3539000,12390
3577000,13338
3614000,14201
3665000,14248
3690000,15293
3742000,15682
3769000,15578
3861466,17320
3916000,18423
3943000,17653
3959000,16471
3990000,17204
4021000,18398
4053000,22616
4083000,22833
4127000,23052
4118000,24329
4040587,28630
4089000,34518
4136000,36052
4187000,32676
4219000,28844
4253000,26894
4273000,24159
4319000,24379
4352000,22286
4369862,21421
4447100,21620
4468912,19582
4478896,19931
4503726,19331
4525375,19324
4548327,19678
4599030,19553
4627851,20775
4661900,21110
4708708,21194
4785401,18363
4803689,20166
4817528,21693
4833996,20834
4849377,20727
226167,236
234000,208
246000,225
248000,272
250000,375
253000,377
272000,409
272000,437
277000,486
282000,624
302173,840
313000,1112
325000,1204
330000,1269
337000,1527
352000,1900
382000,2063
407000,1804
403000,1781
406000,1994
440142,1919
412000,2537
438000,2732
479000,2940
500000,3108
521000,3031
534000,3046
525000,2391
513000,2682
527000,2623
550043,2885
570000,3499
587000,3877
599000,4557
606000,4644
604000,4656
607000,4417
609000,4270
614000,4015
619500,3908
626932,3554
633630,3735
641482,3627
648280,3877
657755,4159
663253,4194
670053,4610
683478,4520
686293,4475
698473,4424
714146,4537
723860,4416
730307,4412
737259,4709
736732,4684
1302161,2704
1391000,2288
1509000,2610
1559000,3027
1581000,3368
1608000,3092
1618000,3272
1634000,3892
1670000,4402
1693000,5742
1772482,6564
1849000,7407
1945000,8731
2058000,9877
2153000,12202
2224000,12184
2270000,10335
2296000,11347
2354000,12996
2450000,14528
2715357,17673
2793000,16082
2860000,14785
2963000,14642
3053000,15756
3187000,19202
3317000,21835
3386000,20742
3466000,21147
3556000,21320
3665228,23911
3750000,25152
3832000,25706
3936000,28142
4075000,28653
4218000,30095
4428000,27963
4555000,28411
4669000,26984
4778332,26334
5130632,27281
5306966,28675
5441125,30171
5579222,28638
5739879,28952
5953007,30478
6166318,33456
6338755,32835
6500180,31567
6595778,28128
6413158,26528
6467315,26789
6551149,28077
6634997,27576
6731484,26916
1786272,1924
1797000,1809
1823000,1667
1858000,1991
1933000,2641
1960000,2662
1955000,3185
1968000,4320
2012000,4360
1995000,4390
1923295,4276
1944000,4680
1978000,4840
2037000,5905
2062000,6521
2116000,7369
2109000,6410
2144000,6924
2186000,7522
2180000,7984
2284037,7656
2294000,7119
2291000,7438
2328000,6930
2349000,7549
2359000,8199
2372000,9365
2388000,9839
2422000,10237
2406000,11397
2350725,12511
2372000,14072
2399000,13831
2424000,14381
2453000,14598
2484000,13741
2510000,13161
2523000,13293
2538000,12442
2551373,10848
2673400,11904
2694698,12190
2706268,11501
2727774,12449
2750000,13814
2775708,14670
2810872,15538
2834797,15226
2855390,14649
2889450,14905
2921588,14711
2938582,14173
2949828,13851
2958765,13705
2966369,14243
